50     0264  CP H            3F 10101011  FF FF FF FF 7F F3 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
51     0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F F3 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
52     0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F F3 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
53     0263  DEC HL          3F 10101011  FF FF FF FF 7F F2 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
54     0264  CP H            3F 10101011  FF FF FF FF 7F F2 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
55     0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F F2 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
56     0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F F2 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
57     0263  DEC HL          3F 10101011  FF FF FF FF 7F F1 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
58     0264  CP H            3F 10101011  FF FF FF FF 7F F1 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
59     0265  JR NZ,$-04H     3F 10101011  FF FF FF FF 7F F1 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
60     0261  LD (HL),01H     3F 10101011  FF FF FF FF 7F F1 FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
